No.,TAB ID (SOFA),Plant,Family,,tropicos species,tropicos family
1,TYP5_05991,Valenzuela trinervis Bert.,SAPINDACEAE,1,Not found,Sapindaceae
2,TYP5_00398,Amsinckia lunaris,Boraginaceae,2,Amsinckia lunaris,Boraginaceae
3,TYP5_06886,Terminalia catappa,COMBRETACEAE,3,Terminalia catappa,Combretaceae
4,TYP5_00487,Apium graveolens,Umbelliferae,4,Apium graveolens,Apiaceae
5,Typ5_01309,Carum copticum,Umbelliferae,5,Carum copticum,Apiaceae
6,TYP5_07270,Polygala butyracea,POLYGALACEAE,6,Polygala butyracea,Polygalaceae
7,TYP5_07365,Pinus monophylla,PINACEAE,7,Pinus monophylla,Pinaceae
8,TYP5_00659,Attalea cohune,Arecaceae,8,Attalea cohune,Arecaceae
9,TYP5_06127,Virola surinamensis,MYRISTICACEAE,9,Virola surinamensis,Myristicaceae
10,TYP5_06278,Astrocaryum tucuma,PALMAE,10,Astrocaryum aculeatum,Arecaceae
11,TYP5_06203,Abelmoschus esculentus,MALVACEAE,11,Abelmoschus esculentus,Malvaceae
12,TYP5_06291,Avena sativa,GRAMINEAE,12,Avena sativa,Poaceae
13,TYP5_07618,Anacardium occidentale,ANACARDIACEAE,13,Anacardium occidentale,Anacardiaceae
14,TYP5_06285,Attalea cohune,PALMAE,14,Attalea cohune,Arecaceae
15,TYP5_07621,Anthrocaryon nannani,ANACARDIACEAE,15,Antrocaryon nannanii,Anacardiaceae
16,TYP5_08823,Hibiscus esculentus,MALVACEAE,16,Abelmoschus esculentus,Malvaceae
17,TYP5_00451,Angelica sylvestris,Umbelliferae,17,Angelica sylvestris,Apiaceae
18,TYP5_04206,Picramina sow,Simaroubaceae,18,Picramnia sp.,Asteraceae
19,Typ5_04411,Oncoba echinata,Flacourtiaceae,19,Oncoba echinata,Salicaceae
20,TYP5_06292,Avena sativa,GRAMINEAE,20,Avena sativa,Poaceae
21,TYP5_06293,Avena sativa,GRAMINEAE,21,Avena sativa,Poaceae
22,TYP1_01533,Agonandra brasiliensis,Olacaceae,22,Agonandra brasiliensis,Opiliaceae
23,TYP5_00485,Apium graveolens,Umbelliferae,23,Apium graveolens,Apiaceae
24,TYP5_01471,Chaerophyllum sativum,Umbelliferae,24,Chaerophyllum sativum,Apiaceae
25,TYP5_02481,Foeniculum capillaceum,Umbelliferae,25,Foeniculum sp.,Apiaceae
26,TYP5_02482,Foeniculum officinale,Umbelliferae,26,Foeniculum vulgare,Apiaceae
27,Typ5_04412,Oncoba echinata,Flacourtiaceae,27,Oncoba echinata,Salicaceae
28,Typ5_04413,Oncoba echinata,Flacourtiaceae,28,Oncoba echinata,Salicaceae
29,TYP5_04631,Pastinaca sativa,UMBELLIFERAE,29,Pastinaca sativa,Apiaceae
30,TYP5_05091,Salvia hispanica,LABIATAE,30,Salvia hispanica,Lamiaceae
31,TYP5_07622,Pistacia vera,ANACARDIACEAE,31,Pistacia vera,Anacardiaceae
32,TYP5_07625,Pistacia lentiscus,ANACARDIACEAE,32,Pistacia lentiscus,Anacardiaceae
33,TYP5_04693,Perilla frutescens,LABIATAE,33,Perilla frutescens,Lamiaceae
34,TYP5_06287,Attalea funifera,PALMAE,34,Attalea funifera,Arecaceae
35,TYP5_07003,Secale cereale,GRAMINEAE,35,Secale cereale,Poaceae
36,TYP5_07025,Shorea aptera,DIPTEROCARPACEAE,36,Shorea aptera,Dipterocarpaceae
37,TYP5_07310,Prunus cerasus,ROSACEAE,37,Cerasus vulgaris,Rosaceae
38,TYP5_06011,Vateria indica,DIPTEROCARPACEAE,38,Vateria indica,Dipterocarpaceae
39,TYP5_06887,Terminalia catappa,COMBRETACEAE,39,Terminalia catappa,Combretaceae
40,TYP5_07623,Pistacia vera,ANACARDIACEAE,40,Pistacia vera,Anacardiaceae
41,TYP5_05938,Triticum vulgare,GRAMINEAE,41,Triticum sp.,Poaceae
42,TYP5_06871,Taraktogenos kurzii,FLACOURTIACEAE,42,Hydnocarpus kurzii,Achariaceae
43,TYP5_07692,Celastrus scandens,CELASTRACEAE,43,Celastrus scandens,Celastraceae
44,TYP5_07693,Celastrus scandens,CELASTRACEAE,44,Celastrus scandens,Celastraceae
45,Typ5_04509,Panicum miliaceum,Gramineae,45,Panicum miliaceum,Poaceae
46,TYP5_04813,Picrasma quassioides,SIMAROUBACEAE,46,Picrasma quassioides,Simaroubaceae
47,TYP5_06279,Astrocaryum tucuma,PALMAE,47,Astrocaryum aculeatum,Arecaceae
48,TYP5_07366,Pinus monophylla,PINACEAE,48,Pinus monophylla,Pinaceae
49,TYP5_01736,Kaffeestrauch,Coffea arabica,49,Coffea arabica,Rubiaceae
50,TYP5_01737,Kaffeestrauch,Coffea arabica,50,Coffea arabica,Rubiaceae
51,TYP5_01921,Croton tiglium,Euphorbiaceae,51,Croton tiglium,Euphorbiaceae
52,Typ5_03759,Nephelium,Sapindaceae,52,Nephelium sp.,Sapindaceae
53,Typ5_04510,Panicum miliaceum,Gramineae,53,Panicum miliaceum,Poaceae
54,TYP5_00289,Aleurites spp.,Euphorbiaceae,54,Aleurites spp.,Euphorbiaceae
55,TYP5_06128,Virola surinamensis,MYRISTICACEAE,55,Virola surinamensis,Myristicaceae
56,TYP5_06294,Avena sativa,GRAMINEAE,56,Avena sativa,Poaceae
57,TYP5_07478,Cuscuta reflexa,CONVOLVULACEAE,57,Cuscuta reflexa,Convolvulaceae
58,TYP1_00568,Ruta graveolens L.,Rutaceae,58,Ruta graveolens,Rutaceae
59,TYP5_07054,Simmondsia californica,SIMMONDSIACEAE,59,Simmondsia californica,Simmondsiaceae
60,TYP5_08001,Ricinus zanzibarinus,EUPHORBIACEAE,60,Ricinus communis,Euphorbiaceae
61,TYP5_03223,,Lindera obtusiloba,61,Lindera obtusiloba,Lauraceae
62,TYP5_03224,,Lindera obtusiloba,62,Lindera obtusiloba,Lauraceae
63,TYP5_03245,,Lindera spp.,63,Lindera sp.,Lauraceae
64,TYP5_06001,Valerianella locusta,VALERIANACEAE,64,Valerianella locusta,Caprifoliaceae
65,TYP5_06411,Quercus spp.,FAGACEAE,65,Quercus spp.,Fagaceae
66,TYP5_06872,Taraktogenos kurzii,FLACOURTIACEAE,66,Hydnocarpus kurzii,Achariaceae
67,TYP5_07004,Secale cereale,GRAMINEAE,67,Secale cereale,Poaceae
68,TYP5_07026,Shorea aptera,DIPTEROCARPACEAE,68,Shorea aptera,Dipterocarpaceae
69,TYP5_00290,Aleurites spp.,Euphorbiaceae,69,Aleurites spp.,Euphorbiaceae
70,TYP5_00674,Attalea speciosa,Palmae,70,Attalea speciosa,Arecaceae
71,Typ5_01117,Camellia japonica,Theaceae,71,Camellia japonica,Theaceae
72,Typ5_01230,Carpotroche brasiliensis,Flacourtiaceae,72,Carpotroche brasiliensis,Achariaceae
73,Typ5_01231,Carpotroche brasiliensis,Flacourtiaceae,73,Carpotroche brasiliensis,Achariaceae
74,Typ5_01232,Carpotroche brasiliensis,Flacourtiaceae,74,Carpotroche brasiliensis,Achariaceae
75,TYP5_03299,,Litsea citrata,75,Actinodaphne citrata,Lauraceae
76,TYP5_03300,,Litsea citrata,76,Actinodaphne citrata,Lauraceae
77,TYP5_03318,,Litsea sebifera,77,Litsea glutinosa var. glutinosa,Lauraceae
78,TYP5_03322,,Litsea zeylanica,78,Neolitsea zeylanica,Lauraceae
79,TYP5_03323,,Litsea zeylanica,79,Neolitsea zeylanica,Lauraceae
80,Typ5_03938,Caloncoba echinata,Flacourtiaceae,80,Caloncoba echinata,Achariaceae
81,Typ5_04408,Oncoba echinata,Flacourtiaceae,81,Oncoba echinata,Salicaceae
82,Typ5_04409,Oncoba echinata,Flacourtiaceae,82,Oncoba echinata,Salicaceae
83,TYP5_06873,Taraktogenos kurzii,FLACOURTIACEAE,83,Hydnocarpus kurzii,Achariaceae
84,TYP5_07001,Syagrus coronata,PALMAE,84,Syagrus coronata,Arecaceae
85,TYP5_07027,Shorea aptera,DIPTEROCARPACEAE,85,Shorea aptera,Dipterocarpaceae
86,TYP5_08861,Hydnocarpus anthelmintica,FLACOURTIACEAE,86,Hydnocarpus sp.,Achariaceae
87,TYP5_01738,Kaffeestrauch,Coffea arabica,87,Coffea arabica,Rubiaceae
88,TYP5_02794,Hydnocarpus kurzii,Flacourtiaceae,88,Hydnocarpus kurzii,Achariaceae
89,TYP5_02795,Hydnocarpus kurzii,Flacourtiaceae,89,Hydnocarpus kurzii,Achariaceae
90,TYP5_02803,Hydnocarpus wightiana,Flacourtiaceae,90,Hydnocarpus sp.,Achariaceae
91,TYP5_04075,Ricinus communis,Euphorbiaceae,91,Ricinus communis,Euphorbiaceae
92,TYP5_08862,Hydnocarpus anthelmintica,FLACOURTIACEAE,92,Hydnocarpus sp.,Achariaceae
93,TYP5_02455,Ferula alliacea,Umbelliferae,93,Ferula sp.,Apiaceae
94,TYP5_07002,Syagrus coronata,PALMAE,94,Syagrus coronata,Arecaceae
95,TYP5_00293,Aleurites trisperma,Euphorbiaceae,95,Aleurites trisperma,Euphorbiaceae
96,TYP5_05939,Triticum vulgare,GRAMINEAE,96,Triticum aestivum,Poaceae
97,TYP5_05953,Ulmus americana,ULMACEAE,97,Ulmus americana,Ulmaceae
98,TYP5_05955,Ulmus campestris,ULMACEAE,98,ÊUlmus glabra,Ulmaceae
99,TYP5_05958,Ulmus effusa,ULMACEAE,99,Ulmus sp.,Ulmaceae
100,TYP5_05966,Ulmus pedunculata,ULMACEAE,100,Ulmus sp.,Ulmaceae
101,TYP5_07311,Prunus cerasus,ROSACEAE,101,Cerasus vulgaris,Rosaceae
102,TYP5_07630,Buchanania lanzan,ANACARDIACEAE,102,Buchanania sp.,Anacardiaceae
103,TYP5_00164,Adansonia grandidieri,Bombacaceae,103,Adansonia grandidieri,Malvaceae
104,TYP5_06012,Vateria indica,DIPTEROCARPACEAE,104,Vateria indica,Dipterocarpaceae
105,TYP5_06888,Terminalia catappa,COMBRETACEAE,105,Terminalia catappa,Combretaceae
106,TYP5_07005,Secale cereale,GRAMINEAE,106,Secale cereale,Poaceae
107,TYP5_00673,Attalea speciosa,Palmae,107,Attalea speciosa,Arecaceae
108,TYP5_06288,Attalea funifera,PALMAE,108,Attalea funifera,Arecaceae
109,TYP5_05940,Triticum vulgare,GRAMINEAE,109,Triticum aestivum,Poaceae
110,TYP5_06280,Astrocaryum tucuma,PALMAE,110,Astrocaryum aculeatum,Arecaceae
111,Typ5_01087,Caloncoba welwitschii,Flacourtiaceae,111,Caloncoba welwitschii,Achariaceae
112,TYP5_07626,Mangifera indica,ANACARDIACEAE,112,Mangifera indica,Anacardiaceae
113,TYP5_05092,Salvia hispanica,LABIATAE,113,Salvia hispanica,Lamiaceae
114,TYP5_07627,Mangifera indica,ANACARDIACEAE,114,Mangifera indica,Anacardiaceae
115,TYP1_01609,,Mallotus philippinensis,115,Mallotus philippensis,Euphorbiaceae
116,TYP5_00854,Brassica alba or napus,Cruciferae,116,"Brassica alba, Brassica napus",Brassicaceae
117,TYP5_02854,Impatiens roylei,Balsaminaceae,117,Impatiens bicolor subsp. bicolor,Balsaminaceae
118,TYP5_02885,Iris spp.,Iridaceae,118,Iris spp.,Iridaceae
119,Typ5_03862,Nymphaea alba,Nymphaeaceae,119,Nymphaea alba,Nymphaeaceae
120,Typ5_04231,Ocimum viride,Labiatae,120,Ocimum gratissimum var. gratissimum,Lamiaceae
121,TYP5_05807,Tetracarpidium conophorum,EUPHORBIACEAE,121,Tetracarpidium conophorum,Euphorbiaceae
122,TYP5_06204,Abelmoschus esculentus,MALVACEAE,122,Abelmoschus esculentus,Malvaceae
123,TYP5_07174,Raphanus sativus,CRUCIFERAE,123,Raphanus sativus,Brassicaceae
124,TYP5_07628,Mangifera indica,ANACARDIACEAE,124,Mangifera indica,Anacardiaceae
125,TYP5_00307,Alliaria officinalis,Cruciferae,125,Alliaria petiolata,Brassicaceae
126,TYP5_00855,Brassica alba or nigra,Cruciferae,126,"Brassica alba, Brassica nigra",Brassicaceae
127,TYP5_06013,Vateria indica,DIPTEROCARPACEAE,127,Vateria indica,Dipterocarpaceae
128,TYP5_06874,Taraktogenos kurzii,FLACOURTIACEAE,128,Hydnocarpus kurzii,Achariaceae
129,TYP1_00601,Sapium sebiferum,Euphorbiaceae,129,Sapium sebiferum,Euphorbiaceae
130,TYP5_01463,Kokosnuss,Palmae,130,Cocos nucifera,Palmae
131,TYP5_03397,,Macadamia ternifolia,131,Macadamia ternifolia,Proteaceae
132,TYP5_04595,Parinari curatellifolia,CHRYSOBALANACEAE,132,Parinari curatellifolia,Chrysobalanaceae
133,TYP5_06129,Virola surinamensis,MYRISTICACEAE,133,Virola surinamensis,Myristicaceae
134,TYP5_06205,Abelmoschus esculentus,MALVACEAE,134,Abelmoschus esculentus,Malvaceae
135,TYP5_08151,Impatiens glanduligera,BALSAMINACEAE,135,Impatiens glandulifera,Balsaminaceae
136,TYP5_08152,Impatiens roylei Walpers,BALSAMINACEAE,136,Impatiens glandulifera,Balsaminaceae
137,TYP5_08153,Impatiens parviflora,BALSAMINACEAE,137,Impatiens parviflora,Balsaminaceae
138,TYP5_08154,Impatiens noli me tangere,BALSAMINACEAE,138,Impatiens sp.,Balsaminaceae
139,TYP5_08155,Impatiens fulva,BALSAMINACEAE,139,Impatiens sp.,Balsaminaceae
140,TYP5_08156,Impatiens holstii nana amabilis,BALSAMINACEAE,140,Impatiens walleriana,Balsaminaceae
141,TYP5_08157,Impatiens sultanii,BALSAMINACEAE,141,Impatiens walleriana,Balsaminaceae
142,TYP5_08158,Impatiens hortensis DC.,BALSAMINACEAE,142,Impatiens sp.,Balsaminaceae
143,TYP5_00012,Abies concolor,Coniferae,143,Abies concolor,Pinaceae
144,Typ5_03874,Onguekoa gore,Olacaceae,144,Ongokea gore,Olacaceae
145,TYP5_04063,Ricinus communis,Euphorbiaceae,145,Ricinus communis,Euphorbiaceae
146,TYP5_06207,Abelmoschus esculentus,MALVACEAE,146,Abelmoschus esculentus,Malvaceae
147,TYP1_01301,Herrania balaðnsis (Ghana),Sterculiaceae,147,Herrania balaensis,Malvaceae
148,TYP1_01302,Herrania mariae (Ghana),Sterculiaceae,148,Herrania mariae,Malvaceae
149,TYP2_00385,Pyrularia pubera,Santalaceae,149,Pyrularia pubera,Santalaceae
150,TYP5_00073,Acacia giraffae,Leguminosae,150,Acacia sp.,Fabaceae
151,TYP5_00445,Angelica glabra,Umbelliferae,151,Angelica sp.,Apiaceae
152,TYP5_01752,Conioselinum univittatum,Umbelliferae,152,Conioselinum vaginatum,Apiaceae
153,Typ5_04238,Oenanthe stolonifera,Umbelliferae,153,Oenanthe javanica subsp. javanica,Apiaceae
154,TYP5_05294,Schleichera,SAPINDACEAE,154,Schleichera Êsp.,Sapindaceae
155,TYP5_05713,Sterculia spp.,STERCULIACEAE,155,Sterculia spp.,Malvaceae
156,TYP5_05734,Strophanthus sarmentosus,APOCYNACEAE,156,Strophanthus sarmentosus,Apocynaceae
157,TYP5_05737,Strophanthus spp.,APOCYNACEAE,157,Strophanthus spp.,Apocynaceae
158,TYP1_01539,Angelica ursina,Umbelliferae,158,Angelica sp.,Apiaceae
159,TYP5_00438,Anethum graveolens,Umbelliferae,159,Anethum graveolens,Apiaceae
160,TYP5_00447,Angelica polyclada,Umbelliferae,160,Angelica sp.,Apiaceae
161,TYP5_00486,Apium graveolens,Umbelliferae,161,Apium graveolens,Apiaceae
162,TYP5_00997,Bupleurum falcatum,Umbelliferae,162,Bupleurum falcatum,Apiaceae
163,Typ5_01306,Carum copticum,Umbelliferae,163,Carum copticum,Apiaceae
164,Typ5_01310,Carum copticum,Umbelliferae,164,Carum copticum,Apiaceae
165,TYP5_01632,Clerodendrum trichotomum,Verbenaceae,165,Clerodendrum trichotomum,Lamiaceae
166,TYP5_02699,Heracleum nipponicum,Umbelliferae,166,Heracleum sphondylium var. nipponicum,Apiaceae
167,TYP5_03169,,Ligusticum acutilobium,167,Angelica acutiloba,Apiaceae
168,Typ5_04457,Osmorhiza aristata var. Laxa,Umbelliferae,168,Osmorhiza aristata,Apiaceae
169,TYP5_04753,Phellopterus litoralis,UMBELLIFERAE,169,Phellopterus littoralis,Apiaceae
170,TYP5_04934,Pleurospermum camtschaticum,UMBELLIFERAE,170,Pleurospermum uralense,Apiaceae
171,TYP5_05196,Sapindus saponaris,SAPINDACEAE,171,Sapindus saponaria,Sapindaceae
172,TYP5_07024,Seseli libanotis,UMBELLIFERAE,172,Seseli libanotis,Apiaceae
173,TYP5_11733,Licania rigida,CHRYSOBALANACEAE,173,Licania rigida,Chrysobalanaceae
174,TYP5_00264,Albizia odoratissima,Mimosaceae,174,Albizia odoratissima,Fabaceae
175,TYP5_00522,Areca catechu,Palmae,175,Areca catechu,Arecaceae
176,Typ5_01112,Camelina sativa,Cruciferae,176,Camelina sativa,Brassicaceae
177,Typ5_01157,Capparis rothii,Capparaceae,177,Capparis sp.,Capparaceae
178,Typ5_01326,Cassia absus,Leguminosae,178,Chamaecrista absus,Fabaceae
179,TYP5_01637,Clitoria ternatea,Leguminosae,179,Clitoria ternatea,Fabaceae
180,TYP5_02059,Datura stamonium L.,Solanaceae,180,Datura stramonium,Solanaceae
181,TYP5_02123,Digitalis purpurea,Scrophulariaceae,181,Digitalis purpurea,Plantaginaceae
182,TYP5_03461,,Mallotus spp.,182,Mallotus sp.,Euphorbiaceae
183,TYP5_03462,,Mallotus spp.,183,Mallotus sp.,Euphorbiaceae
184,TYP5_03951,Punica granatum,Punicaceae,184,Punica granatum,Lythraceae
185,Typ5_04503,Panax ginseng,Araliaceae,185,Panax ginseng,Araliaceae
186,TYP5_05160,Santalum album,SANTALACEAE,186,Santalum album,Santalaceae
187,TYP5_05165,Santalum spp.,SANTALACEAE,187,Santalum spp.,Santalaceae
188,TYP5_05170,Santalum spp.,SANTALACEAE,188,Santalum spp.,Santalaceae
189,TYP5_05668,Spinacia oleraceae,CHENOPODIACEAE,189,Spinacia oleracea,Amaranthaceae
190,TYP5_05950,Ulmus americana,ULMACEAE,190,Ulmus americana,Ulmaceae
191,TYP5_06037,Vernonia anthelmintica,COMPOSITAE,191,Baccharoides anthelmintica,Asteraceae
192,TYP5_06068,Vernonia sp.,COMPOSITAE,192,Vernonia spp.,Asteraceae
193,TYP5_07023,Seseli indicum,UMBELLIFERAE,193,Seseli sp.,Apiaceae
194,TYP5_07444,Ximenia caffra,OLACACEAE,194,Ximenia caffra,Ximeniaceae
195,TYP5_07445,Ximenia caffra var. natalensis,OLACACEAE,195,Ximenia caffra var. natalensis,Ximeniaceae
196,TYP5_07446,Ximenia americana var. microphylla,OLACACEAE,196,Ximenia americana var. microphylla,Ximeniaceae
197,TYP1_01544,Arachis pusilla,Leguminosae,197,Arachis pusilla,Fabaceae
198,TYP1_01545,Arachis villosa,Leguminosae,198,Arachis villosa,Fabaceae
199,TYP5_02629,Haloptela integrifolia,Urticaceae,199,Halophila sp.,Ulmaceae
200,Typ5_03672,Moringa pterygosperma,Moringaceae,200,Moringa oleifera,Moringaceae
201,Typ5_03718,Nandina domestica,Berberidaceae,201,Nandina domestica,Berberidaceae
202,TYP5_04935,Pleurospermum uralense,UMBELLIFERAE,202,Pleurospermum uralense,Apiaceae
203,TYP5_05172,Santalum spp.,SANTALACEAE,203,Santalum spp.,Santalaceae
204,TYP5_12194,Santalum album,SANTALACEAE,204,Santalum album,Santalaceae
205,TYP5_00286,Aleurites spp.,Euphorbiaceae,205,Aleurites spp.,Euphorbiaceae
206,TYP5_00416,Anamirta cocculus,Menispermaceae,206,Anamirta cocculus,Menispermaceae
207,TYP5_00919,Brassica nigra (L.) Koch.,Cruciferae,207,Brassica nigra,Brassicaceae
208,Typ5_01070,Calendula spp.,Compositae,208,Calendula spp.,Asteraceae
209,Typ5_01398,Celastrus spp.,Celastraceae,209,Celastrus spp.,Celastraceae
210,Typ5_01440,Cephalocroton,Euphorbiaceae,210,Cephalocroton sect. Cephalocrotonopsis,Euphorbiaceae
211,TYP5_02098,Delphinium spp.,Ranunculaceae,211,Delphinium spp.,Ranunculaceae
212,TYP5_02243,Ellettaria cardomomum,Zingiberaceae,212,Elettaria cardamomum,Zingiberaceae
213,TYP5_02941,,Jatropha spathulata,213,Jatropha spathulata,Euphorbiaceae
214,TYP5_03243,,Lindera spp.,214,Lindera sp.,Lauraceae
215,TYP5_03455,,Mallotus philippinensis,215,Mallotus philippensis,Euphorbiaceae
216,Typ5_03684,Mucuna pruriens,Leguminosae,216,Mucuna pruriens,Fabaceae
217,TYP5_03952,Punica granatum,Punicaceae,217,Punica granatum,Lythraceae
218,Typ5_04351,Omphalea queenslandiae,,218,Omphalea sp.,Euphorbiaceae
219,TYP5_04810,Picramnia spp.,SIMAROUBACEAE,219,Picramnia spp.,Picramniaceae
220,TYP5_04825,Pimpinella anisetum,UMBELLIFERAE,220,Pimpinella anisum,Apiaceae
221,TYP5_05164,Santalum spp.,SANTALACEAE,221,Santalum spp.,Santalaceae
222,TYP5_05171,Santalum spp.,SANTALACEAE,222,Santalum spp.,Santalaceae
223,TYP5_06261,Cephalocroton cordofanus,EUPHORBIACEAE,223,Cephalocroton cordofanus,Euphorbiaceae
224,TYP5_06425,Raphanus sativus,CRUCIFERAE,224,Raphanus sativus,Brassicaceae
225,TYP5_07357,Pimpinella anisum L.,UMBELLIFERAE,225,Pimpinella anisum,Apiaceae
226,TYP5_07447,Santalum acuminatum,SANTALACEAE,226,Santalum acuminatum,Santalaceae
227,TYP5_07448,Santalum murrayanum,SANTALACEAE,227,Santalum sp.,Santalaceae
228,TYP5_07449,Santalum spicatum,SANTALACEAE,228,Santalum sp.,Santalaceae
229,TYP5_07797,Pimpinella antisetum,UMBELLIFERAE,229,Pimpinella anisum,Apiaceae
230,TYP1_01016,Buxus microphylla,Buxaceae,230,Buxus microphylla,Buxaceae
231,TYP1_01523,Achyranthes bidentata,Amaranthaceae,231,Achyranthes bidentata,Amaranthaceae
232,TYP5_00254,Albizia amara,Mimosaceae,232,Albizia amara,Fabaceae
233,TYP5_00918,Brassica nigra (L.) Koch.,Cruciferae,233,Brassica nigra,Brassicaceae
234,Typ5_01060,Calendula officinalis,Compositae,234,Calendula officinalis,Asteraceae
235,Typ5_01113,Camelina sativa,Cruciferae,235,Camelina sativa,Brassicaceae
236,Typ5_01333,Cassia fistula,Leguminosae,236,Cassia fistula,Fabaceae
237,Typ5_01344,Cassia occidentalis,Leguminosae,237,Senna occidentalis,Fabaceae
238,Typ5_01345,Cassia occidentalis,Leguminosae,238,Senna occidentalis,Fabaceae
239,Typ5_01351,Cassia tora,Leguminosae,239,Senna obtusifolia,Fabaceae
240,TYP5_01788,Koriander,Coriandrum sativum,240,Coriandrum sativum,Apiaceae
241,Typ5_03885,Onguekoa gore,Olacaceae,241,Ongokea gore,Olacaceae
242,Typ5_04239,Oenocarpus bacaba,Palmae,242,Oenocarpus bacaba,Arecaceae
243,TYP5_04667,Pentaclethra filamentosa,LEGUMINOSAE-MIMOSOIDEAE,243,Pentaclethra macroloba,Fabaceae
244,TYP5_04829,Pimpinella anisum,UMBELLIFERAE,244,Pimpinella anisum,Apiaceae
245,TYP5_05198,Sapium indicum,EUPHORBIACEAE,245,Shirakiopsis indica,Euphorbiaceae
246,TYP5_06051,Vernonia colorata,COMPOSITAE,246,Vernonia colorata,Asteraceae
247,TYP5_06206,Abelmoschus esculentus,MALVACEAE,247,Abelmoschus esculentus,Malvaceae
248,TYP5_06779,Elaeis melanococca,PALMAE,248,Elaeis guineensis,Arecaceae
249,TYP5_07356,Pimpinella anisum L.,UMBELLIFERAE,249,Pimpinella anisum,Apiaceae
250,TYP5_07798,Podocarpus nageia,PODOCARPACEAE,250,Nageia nagi,Podocarpaceae
251,TYP5_10161,Eriodendron occidentale,BOMBACACEAE,251,Ceiba pentandra,Malvaceae
252,TYP5_11803,Acrocomia vinifera,PALMAE,252,Acrocomia aculeata,Arecaceae
253,TYP5_11804,Aegiphila obducta,VERBENACEAE,253,Aegiphila obducta,Lamiaceae
254,TYP5_11805,Aesculus chinensis,HIPPOCASTANACEAE,254,Aesculus chinensis,Sapindaceae
255,TYP5_11806,Aglaia teysmanniana,MELIACEAE,255,Aglaia teysmanniana,Meliaceae
256,TYP5_11807,Agonandra brasiliensis,OPILIACEAE,256,Agonandra brasiliensis,Opiliaceae
257,TYP5_11808,Akebia quinata,LARDIZABALACEAE,257,Akebia quinata,Lardizabalaceae
258,TYP5_11810,Aleurites cordata,EUPHORBIACEAE,258,Cajanus cajan,Euphorbiaceae
259,TYP5_11811,Allanblackia stuhlmanii,GUTTIFERAE,259,Allanblackia stuhlmannii,Clusiaceae
260,TYP5_11812,Ampelopsis hederacea,VITACEAE,260,Parthenocissus quinquefolia,Vitaceae
261,TYP5_11813,Ampelosicyos scandens,CUCURBITACEAE,261,Ampelosicyos scandens,Cucurbitaceae
262,TYP5_11814,Tetracarpidium conophorum,EUPHORBIACEAE,262,Tetracarpidium conophorum,Euphorbiaceae
263,TYP5_11880,Bactris acanthocarpa,PALMAE,263,Bactris acanthocarpa,Arecaceae
264,TYP5_11881,Bactris speciosa,PALMAE,264,Bactris gasipaes,Arecaceae
265,TYP5_11882,Baillonella djave,SAPOTACEAE,265,Baillonella djave,Sapotaceae
266,TYP5_11883,Baillonella obovata,SAPOTACEAE,266,Not found,Sapotaceae
267,TYP5_11884,Balanites maughamii,BALANITACEAE,267,Balanites maughamii,Zygophyllaceae
268,TYP5_11885,Balanites mayubensis,BALANITACEAE,268,Balanites wilsonianus,Zygophyllaceae
269,TYP5_11886,Balanites tieghemi,BALANITACEAE,269,Balanites wilsonianus,Zygophyllaceae
270,TYP5_11887,Barbarea praecox,CRUCIFERAE,270,Barbarea verna,Brassicaceae
271,TYP5_11888,Barringtonia racemosa,LECYTHIDACEAE,271,Barringtonia racemosa,Lecythidaceae
272,TYP5_11889,Barringtonia speciosa,LECYTHIDACEAE,272,Barringtonia asiatica,Lecythidaceae
273,TYP5_11890,Basiloxylon brasiliense,STERCULIACEAE,273,Basiloxylon brasiliensis,Malvaceae
274,TYP5_11891,Bassia butyracea,SAPOTACEAE,274,Aesandra butyracea,Sapotaceae
275,TYP5_11892,Bassia latifolia,SAPOTACEAE,275,Madhuca longifolia var. latifolia,Sapotaceae
276,TYP5_11894,Bassia longifolia,SAPOTACEAE,276,Madhuca longifolia,Sapotaceae
277,TYP5_11895,Bassia mottleyana,SAPOTACEAE,277,Madhuca motleyana,Sapotaceae
278,TYP5_11896,Bassia pasquieri,SAPOTACEAE,278,Madhuca pasquieri,Sapotaceae
279,TYP5_11897,Bauhinia candida,LEGUMINOSAE-CAESALPINIOIDEAE,279,Bauhinia variegata var. candida,Fabaceae
280,TYP5_11898,Benincasa cerifera,CUCURBITACEAE,280,Benincasa hispida var. hispida,Cucurbitaceae
281,TYP5_11899,Berberis vulgaris,BERBERIDACEAE,281,Berberis vulgaris,Berberidaceae
282,TYP5_11900,Berrya ammonilla,TILIACEAE,282,Berrya cordifolia,Malvaceae
283,TYP5_11901,Bertholletia nobilis,LECYTHIDACEAE,283,Bertholletia excelsa,Lecythidaceae
284,TYP5_11914,Betula alba,BETULACEAE,284,Betula pendula,Betulaceae
285,TYP5_11915,Betula alba,BETULACEAE,285,Betula pendula,Betulaceae
286,TYP5_11916,Blighia laurentii,SAPINDACEAE,286,Not found,Sapindaceae
287,TYP5_11917,Blighia laurentii,SAPINDACEAE,287,Not found,Sapindaceae
288,TYP5_11918,Bombax angulicarpum,BOMBACACEAE,288,Bombax buonopozense,Malvaceae
289,TYP5_11919,Bombax buonopozense,BOMBACACEAE,289,Bombax buonopozense,Malvaceae
290,TYP5_11920,Bombax crenulatum,BOMBACACEAE,290,Eriotheca gracilipes,Malvaceae
