Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Leguminosae Acacia suma	Acacia suma		1	Synonym	Acacia polyacantha	Willd.	Fabaceae	tropicos;usda	 		11344
Leguminosae Acacia sundra	Acacia sundra		1	No opinion				tropicos	 [Ambiguous match] 		11345
Amaryllidaceae Alstroemeria aurantiaca	Alstroemeria aurantiaca		0.6	Accepted	Alstroemeria aurantiaca	D. Don	Alstroemeriaceae	tropicos	 		11346
Leguminosae Acacia terminalis	Acacia terminalis		1	Accepted	Acacia terminalis	(Salisb.) J.F. Macbr.	Fabaceae	tropicos	 		11347
Malvaceae Althaea officinalis	Althaea officinalis		1	Accepted	Althaea officinalis	L.	Malvaceae	tropicos;usda	 		11348
Leguminosae Acacia torta	Acacia torta		1	Accepted	Acacia torta	(Roxb.) Craib	Fabaceae	tropicos	 		11349
Leguminosae Acacia tortilis	Acacia tortilis		1	Accepted	Acacia tortilis	(Forssk.) Hayne	Fabaceae	tropicos;usda	 		11350
Malvaceae Althaea rhyticarpa Trautv.	Althaea rhyticarpa	Trautv.	1	No opinion				tropicos	 		11351
Malvaceae Alyogine hakeifolia	Alyogyne hakeifolia		0.99	Accepted	Alyogyne hakeifolia	(Giord.) Alef.	Malvaceae	tropicos	 		11352
Malvaceae Alyogine huegelii	Alyogyne huegelii		0.99	Accepted	Alyogyne huegelii	Fryxell	Malvaceae	tropicos	 		11353
Acanthaceae Acanthus mollis	Acanthus mollis		1	Accepted	Acanthus mollis	L.	Acanthaceae	tropicos;usda	 		11354
Aceraceae Acer mono	Acer mono		1	Synonym	Acer pictum subsp. mono	(Maxim.) H. Ohashi	Sapindaceae	tropicos	 		11355
 Acer pseudoplatanus	Acer pseudoplatanus		0.9	Accepted	Acer pseudoplatanus	L.	Sapindaceae	tropicos;usda	 		11356
Leguminosae Alysicarpus vaginalis	Alysicarpus vaginalis		1	Accepted	Alysicarpus vaginalis	(L.) DC.	Fabaceae	tropicos;usda	 		11357
Compositae Achillea alpina	Achillea alpina		1	Accepted	Achillea alpina	L.	Asteraceae	tropicos;gcc;usda	 		11358
Amaranthaceae Amaranthus acutilobus	Amaranthus acutilobus		1	Accepted	Amaranthus acutilobus	Uline & W.L. Bray	Amaranthaceae	tropicos	 		11359
Sapotaceae Achras zapota	Achras zapota		1	Synonym	Manilkara zapota	(L.) P. Royen	Sapotaceae	tropicos;usda	 		11360
Labiatae Acinos hungaricus	Acinos hungaricus		1	Accepted	Acinos hungaricus	(Simonk.) Å iliÄ‡	Lamiaceae	tropicos	 		11361
Labiatae Acinos suaveolens	Acinos suaveolens		1	Synonym	Satureja suaveolens	(Sm.) Watzl	Lamiaceae	tropicos	 		11362
Amaranthaceae Amaranthus albus	Amaranthus albus		1	Accepted	Amaranthus albus	L.	Amaranthaceae	tropicos;usda	 		11363
Chrysobalanaceae Acioa edulis	Acioa edulis		1	Accepted	Acioa edulis	Prance	Chrysobalanaceae	tropicos	 		11364
Ranunculaceae Aconitum excelsum	Aconitum excelsum		1	Synonym	Aconitum septentrionale	Koelle	Ranunculaceae	tropicos	 		11365
Ranunculaceae Aconitum napellus	Aconitum napellus		1	Accepted	Aconitum napellus	L.	Ranunculaceae	tropicos;usda	 		11366
Ranunculaceae Aconitum turczaninovii	Aconitum turczaninowii		0.99	Accepted	Aconitum turczaninowii	Vorosch.	Ranunculaceae	tropicos	 		11367
Ranunculaceae Aconitum vulparia	Aconitum vulparia		1	Accepted	Aconitum vulparia	Rchb.	Ranunculaceae	tropicos	 		11368
Labiatae Micromeria albanica	Micromeria albanica		1	Accepted	Micromeria albanica	(K. Malý) Å iliÄ‡	Lamiaceae	tropicos	 		11369
Labiatae Micromeria dalmatica	Micromeria dalmatica		1	Synonym	Clinopodium dalmaticum	(Benth.) Bräuchler & Heubl	Lamiaceae	tropicos	 		11370
Labiatae Micromeria juliana	Micromeria juliana		1	Synonym	Clinopodium julianum	(L.) Kuntze	Lamiaceae	tropicos	 		11371
Labiatae Micromeria parviflora	Micromeria parviflora		1	Synonym	Clinopodium parviflorum	(Rchb.) Kuntze	Lamiaceae	tropicos	 		11372
Labiatae Micromeria thymifolia 	Micromeria thymifolia		1	No opinion				tropicos	 		11373
Boraginaceae Microula sikkimensis	Microula sikkimensis		1	Accepted	Microula sikkimensis	(C.B. Clarke) Hemsl.	Boraginaceae	tropicos	 		11374
Palmae Acrocomia mokayayba	Acrocomia mokayayba		1	Synonym	Acrocomia aculeata	(Jacq.) Lodd. ex Mart.	Arecaceae	tropicos	 		11375
 Adansonia	Adansonia		0.9	Accepted	Adansonia	L.	Malvaceae	tropicos	 		11376
Bombacaceae Adansonia digitata	Adansonia digitata		1	Accepted	Adansonia digitata	L.	Malvaceae	tropicos;usda	 		11377
Leguminosae Adenodolichos paniculatus	Adenodolichos paniculatus		1	Accepted	Adenodolichos paniculatus	(Hua) Hutch. & Dalziel	Fabaceae	tropicos	 		11378
Ranunculaceae Adonis vernalis	Adonis vernalis		1	Accepted	Adonis vernalis	L.	Ranunculaceae	tropicos;usda	 		11379
Crassulaceae Aeonium leucoblepharum	Aeonium leucoblepharum		1	No opinion				tropicos	 		11380
Leguminosae Aeschynomene indica	Aeschynomene indica		1	Accepted	Aeschynomene indica	L.	Fabaceae	tropicos;usda	 		11381
Zingiberaceae Aframomum citratum	Aframomum citratum		1	Accepted	Aframomum citratum	(C. Pereira) K. Schum.	Zingiberaceae	tropicos	 		11382
Sapotaceae Afrosersalisia afzelii	Afrosersalisia afzelii		1	Synonym	Synsepalum afzelii	(Engl.) T.D. Penn.	Sapotaceae	tropicos	 		11383
Sapotaceae Afrosersalisia cerasifera	Afrosersalisia cerasifera		1	Synonym	Synsepalum cerasiferum	(Welw.) T.D. Penn.	Sapotaceae	tropicos	 		11384
Caesalpiniaceae Afzelia bipindensis	Afzelia bipindensis		1	Accepted	Afzelia bipindensis	Harms	Fabaceae	tropicos	 		11385
 Afzelia cuanzensis	Afzelia cuanzensis		0.9	Synonym	Intsia cuanzensis	(Oliv.) Kuntze	Fabaceae	tropicos	 		11386
