Name_submitted	Name_matched	Author_matched	Overall_score	Taxonomic_status	Accepted_name	Accepted_author	Accepted_family	Source	Warnings	Accepted_name_lsid	user_id
Caesalpiniaceae Afzelia africana	Afzelia africana		1	Synonym	Intsia africana	(Sm.) Kuntze	Fabaceae	tropicos	 		12849
Agavaceae Agave parryi var. Huachucensis	Agave parryi		0.9	Accepted	Agave parryi	Engelm.	Asparagaceae	tropicos;usda	 		12850
Olacaceae Agonandra brasiliensis	Agonandra brasiliensis		0.6	Accepted	Agonandra brasiliensis	Miers ex Benth. & Hook. f.	Opiliaceae	tropicos	 		12851
Leguminosae Arachis pusilla	Arachis pusilla		1	Accepted	Arachis pusilla	Benth.	Fabaceae	tropicos;usda	 		12852
Compositae Arctotis grandis	Arctotis grandis		1	Synonym	Arctotis stoechadifolia	P.J. Bergius	Asteraceae	tropicos;usda	 		12853
Compositae Artemisia absinthium	Artemisia absinthium		1	Accepted	Artemisia absinthium	L.	Asteraceae	tropicos;gcc;usda	 		12854
Cucurbitaceae Fevillea cordifolia	Fevillea cordifolia		1	Accepted	Fevillea cordifolia	L.	Cucurbitaceae	tropicos;usda	 		12855
Myristicaceae Horsfieldia macrothyrsa	Horsfieldia		0.6	Accepted	Horsfieldia	Willd.	Myristicaceae	tropicos	 [Partial match] 		12856
Myristicaceae Horsfieldia spec.	Horsfieldia		0.9	Accepted	Horsfieldia	Willd.	Myristicaceae	tropicos	 		12857
Myristicaceae Horsfieldia sylvestris	Horsfieldia sylvestris		1	Accepted	Horsfieldia sylvestris	(Houtt.) Warb.	Myristicaceae	tropicos	 		12858
Leguminosae Acacia farnesiana	Acacia farnesiana		1	Accepted	Acacia farnesiana	(L.) Willd.	Fabaceae	tropicos;usda	 		12859
Primulaceae Primula veris L.	Primula veris	L.	1	Accepted	Primula veris	L.	Primulaceae	tropicos;usda	 		12860
Primulaceae Primula vulgaris Hudson	Primula vulgaris	Huds.	0.92	No opinion				tropicos	 		12861
Olacaceae Heisteria silvanii	Heisteria silvianii		0.99	Accepted	Heisteria silvianii	Schwacke	Olacaceae	tropicos	 		12862
Umbelliferae Bifora testiculata	Bifora testiculata		1	Synonym	Anidrum testiculatum	(L.) Kuntze	Apiaceae	tropicos	 		12863
Umbelliferae Bifora radians	Bifora radians		1	Synonym	Anidrum radians	(M. Bieb.) Kuntze	Apiaceae	tropicos	 		12864
Guttiferae Garcinia magostana (Thailand)	Garcinia mangostana	L.	0.79	Accepted	Garcinia mangostana	L.	Clusiaceae	tropicos;usda	 		12865
Boraginaceae Echium fastuosum	Echium fastuosum		1	Accepted	Echium fastuosum	Aiton	Boraginaceae	tropicos	 		12866
Boraginaceae Echium sventenii	Echium sventenii		1	No opinion				tropicos	 		12867
Boraginaceae Echium nervosum	Echium nervosum		1	No opinion				tropicos	 		12868
Boraginaceae Echium candicans	Echium candicans		1	Accepted	Echium candicans	L. f.	Boraginaceae	tropicos;usda	 		12869
Boraginaceae Echium acanthocarpum	Echium		0.6	Accepted	Echium	L.	Boraginaceae	tropicos	 [Partial match] 		12870
Boraginaceae Echium onosmifolium	Echium onosmifolium		1	No opinion				tropicos	 		12871
Boraginaceae Echium callithyrsum	Echium callithyrsum		1	No opinion				tropicos	 		12872
Boraginaceae Echium hierrense	Echium hierrense		1	Synonym	Echium bifrons var. hierrense	(Webb ex Bolle) H.Christ	Unknown	tropicos	 		12873
Boraginaceae Echium auberianum	Echium auberianum		1	No opinion				tropicos	 		12874
Boraginaceae Echium decaisnei	Echium decaisnei		1	No opinion				tropicos	 		12875
Boraginaceae Echium strictum	Echium strictum		1	Illegitimate				tropicos	 		12876
Lapulla redowskii (Hornen.) Greene Boraginaceae(###)Eritrichiese	Lappula redowskii	(Hornem.) Greene	0.82	Accepted	Lappula redowskii	(Hornem.) Greene	Boraginaceae	tropicos	 		12877
Borago officinialis L. Boraginaceae(###)Anchuseae	Borago officinalis	L.	0.89	Accepted	Borago officinalis	L.	Boraginaceae	tropicos;usda	 		12878
Elaeagnaceae Hippophae rhamnoides ((UDSSR)	Hippophae rhamnoides	L.	0.8	Accepted	Hippophae rhamnoides	L.	Elaeagnaceae	tropicos;usda	 		12879
Elaeagnaceae Hippophae rhamnoides (Deutschland)	Hippophae rhamnoides	L.	0.81	Accepted	Hippophae rhamnoides	L.	Elaeagnaceae	tropicos;usda	 		12880
Ephedraceae Ephedra viridis	Ephedra viridis		1	Accepted	Ephedra viridis	Coville	Ephedraceae	tropicos;usda	 		12881
Umbelliferae Foeniculum vulgare	Foeniculum vulgare		1	Accepted	Foeniculum vulgare	Mill.	Apiaceae	tropicos;usda	 		12882
Malvaceae Hibiscus cannabinus var. Cubano	Hibiscus cannabinus		0.9	Synonym	Hibiscus asper	Hook. f.	Malvaceae	tropicos	 		12883
Malvaceae Hibiscus cannabinus	Hibiscus cannabinus		1	Synonym	Hibiscus asper	Hook. f.	Malvaceae	tropicos	 		12884
Malvaceae Hibiscus diversifolius	Hibiscus diversifolius		1	Accepted	Hibiscus diversifolius	Jacq.	Malvaceae	tropicos	 		12885
Malvaceae Hibiscus Bojeranus	Hibiscus	L.	0.84	Accepted	Hibiscus	L.	Malvaceae	tropicos	 		12886
Malvaceae Hibiscus ellisii	Hibiscus ellisii		1	Accepted	Hibiscus ellisii	Baker	Malvaceae	tropicos	 		12887
Malvaceae Hibiscus palmitifidus	Hibiscus palmatifidus		0.99	Accepted	Hibiscus palmatifidus	Baker	Malvaceae	tropicos	 		12888
Malvaceae Hibiscus tiliacues	Hibiscus tiliaceus		0.99	Synonym	Talipariti tiliaceum	(L.) Fryxell	Malvaceae	tropicos	 		12889
Elaeagnaceae Hippophae salicifolia	Hippophae salicifolia		1	Accepted	Hippophae salicifolia	D. Don	Elaeagnaceae	tropicos	 		12890
Euphorbiaceae Euphorbia lagascae	Euphorbia lagascae		1	Synonym	Tithymalus lagascae	(Spreng.) Klotzsch & Gard	Euphorbiaceae	tropicos	 		12891
Labiatae Galopsis speciosa	Galeopsis speciosa		0.99	Accepted	Galeopsis speciosa	Mill.	Lamiaceae	tropicos;usda	 		12892
Melothria maderaspatana 	Melothria maderaspatana		1	Synonym	Mukia maderaspatana	(L.) M. Roem.	Cucurbitaceae	tropicos	 		12893
Myristicaceae Horsfieldia macrothyrsa Warb. 	Horsfieldia		0.6	Accepted	Horsfieldia	Willd.	Myristicaceae	tropicos	 [Partial match] 		12894
Myristicaceae Horsfieldia silvestris Warb.	Horsfieldia sylvestris	(Houtt.) Warb.	0.9	Accepted	Horsfieldia sylvestris	(Houtt.) Warb.	Myristicaceae	tropicos	 		12895
Myristicaceae Horsfieldia spec. 	Horsfieldia		0.9	Accepted	Horsfieldia	Willd.	Myristicaceae	tropicos	 		12896
Myristicaceae Knema angustifolia	Knema angustifolia		1	Synonym	Knema cinerea var. glauca	(Blume) Y.H. Li	Myristicaceae	tropicos	 		12897
Myristicaceae Myristica iners 	Myristica ingens		0.95	Accepted	Myristica ingens	(Foreman) W.J. de Wilde	Myristicaceae	tropicos	 		12898
Myristicaceae Myristica teysmannii	Myristica		0.6	Accepted	Myristica	Gronov.	Myristicaceae	tropicos	 [Partial match] 		12899
Myristicaceae Myristica laurifolia 	Myristica laurifolia		1	Invalid				tropicos	 		12900
Myristicaceae Myristica radja	Myristica		0.6	Accepted	Myristica	Gronov.	Myristicaceae	tropicos	 [Partial match] 		12901
Myristicaceae Gymnacranthera canarica 	Gymnacranthera canarica		1	No opinion				tropicos	 		12902
Onagraceae Oenothera biennis 	Oenothera biennis		1	Accepted	Oenothera biennis	L.	Onagraceae	tropicos;usda	 		12903
Onagraceae Oenothera biennis	Oenothera biennis		1	Accepted	Oenothera biennis	L.	Onagraceae	tropicos;usda	 		12904
Umbelliferae Heracleum sphondylium ssp. sibricum	Heracleum sphondylium subsp. sibiricum		0.99	Synonym	Heracleum sibiricum	L.	Apiaceae	tropicos	 		12905
Malphighiaceae Hiptage benghalensis	Hiptage benghalensis		0.99	Accepted	Hiptage benghalensis	(L.) Kurz	Malpighiaceae	tropicos;usda	 		12906
Malphighiaceae Hiptage madablota	Hiptage madablota		0.99	Illegitimate	Banisteria tetraptera	Sonn.	Malpighiaceae	tropicos	 		12907
Cruciferae Hirschfelddia incana (L.) Lagreza-Fossat	Hirschfeldia incana	(L.) Lagr.-Fossat	0.97	Accepted	Hirschfeldia incana	(L.) Lagr.-Fossat	Brassicaceae	tropicos	 		12908
Cucurbitaceae Hodgsonia capniocarpa	Hodgsonia capniocarpa		1	Synonym	Hodgsonia macrocarpa var. capniocarpa	(Ridl.) Tsai	Cucurbitaceae	tropicos	 		12909
Apocynaceae Holarrhena antidlysenterica	Holarrhena antidysenterica		0.99	Synonym	Walidda antidysenterica	(L.) Pichon	Apocynaceae	tropicos	 [Ambiguous match] 		12910
Ranunculaceae Consolida orientalis	Consolida orientalis		1	Accepted	Consolida orientalis	(J. Gay ex Des Moul.) Schrödinger	Ranunculaceae	tropicos	 		12911
Compositae Carthamus tinctorius	Carthamus tinctorius		1	Accepted	Carthamus tinctorius	L.	Asteraceae	tropicos;gcc;usda	 		12912
Cruciferae Alliaria petiolata	Alliaria petiolata		1	Accepted	Alliaria petiolata	(M. Bieb.) Cavara & Grande	Brassicaceae	tropicos;usda	 		12913
Cruciferae Alyssoides bulgarica	Alyssoides bulgarica		1	Synonym	Alyssoides utriculata	(L.) Medik.	Brassicaceae	tropicos	 		12914
Cruciferae Barbarea vulgaris	Barbarea vulgaris		1	Accepted	Barbarea vulgaris	W.T. Aiton	Brassicaceae	tropicos;usda	 		12915
Cruciferae Brassica nigra	Brassica nigra		1	Accepted	Brassica nigra	(L.) W.D.J. Koch	Brassicaceae	tropicos;usda	 		12916
Cruciferae Capsella bursa-pastoris	Capsella bursa-pastoris		1	Accepted	Capsella bursa-pastoris	(L.) Medik.	Brassicaceae	tropicos;usda	 		12917
Cruciferae Crambe maritima	Crambe maritima		1	Accepted	Crambe maritima	L.	Brassicaceae	tropicos;usda	 		12918
Cruciferae Raphanus raphanistrum	Raphanus raphanistrum		1	Accepted	Raphanus raphanistrum	L.	Brassicaceae	tropicos;usda	 		12919
Rosaceae Agrimonia eupatoria	Agrimonia eupatoria		1	Accepted	Agrimonia eupatoria	L.	Rosaceae	tropicos;usda	 		12920
Rosaceae Aronia melanocarpa	Aronia melanocarpa		1	Accepted	Aronia melanocarpa	(Michx.) Elliott	Rosaceae	tropicos	 		12921
Rosaceae Prunus fruticosa	Prunus fruticosa		1	Synonym	Cerasus fruticosa	(Pall.) Woronow	Rosaceae	tropicos	 		12922
Boraginaceae Pyracantha coccinea	Pyracantha coccinea		0.6	Accepted	Pyracantha coccinea	M. Roem.	Rosaceae	tropicos;usda	 		12923
Rosaceae Rosa tournefortii	Rosa		0.6	Accepted	Rosa	L.	Rosaceae	tropicos	 [Partial match] 		12924
Rosaceae Rubus sanguineus	Rubus sanguineus		1	Synonym	Rubus anatolicus	Focke	Rosaceae	tropicos	 		12925
Fagaceae Fagus sp.	Fagus		0.9	Accepted	Fagus	L.	Fagaceae	tropicos	 		12926
Fagaceae Quercus sp.	Quercus		0.9	Accepted	Quercus	L.	Fagaceae	tropicos	 		12927
Lychnis floscuculi 	Lychnis flos-cuculi		1	Synonym	Silene flos-cuculi	(L.) Clairv.	Caryophyllaceae	tropicos	 		12928
Leguminosae-Papilionoideae Galega officinalis	Galega officinalis		0.9	Accepted	Galega officinalis	L.	Fabaceae	tropicos;usda	 		12929
Rutaceae Haplophyllum sp.	Haplophyllum		0.9	Accepted	Haplophyllum	A. Juss.	Rutaceae	tropicos	 		12930
Rutaceae Ruta graveolens	Ruta graveolens		1	Accepted	Ruta graveolens	L.	Rutaceae	tropicos;usda	 		12931
Cucurbitaceae Bryonia alba	Bryonia alba		1	Accepted	Bryonia alba	L.	Cucurbitaceae	tropicos;usda	 		12932
Cucurbitaceae Bryonia cretica	Bryonia cretica		1	No opinion				tropicos	 		12933
Scrophulariaceae Digitalis lanata	Digitalis lanata		1	Accepted	Digitalis lanata	Ehrh.	Plantaginaceae	tropicos;usda	 		12934
Polygonaceae Fagopyrum sagittatum gilib.	Fagopyrum sagittatum		0.9	Illegitimate				tropicos	 		11912
Fagaceae Fagus orientalis	Fagus orientalis		1	Synonym	Fagus sylvatica subsp. orientalis	(Lipsky) Greuter & Burdet	Fagaceae	tropicos	 		11913
Araliaceae Fatsia japonica	Fatsia japonica		1	Accepted	Fatsia japonica	(Thunb.) Decne. & Planch.	Araliaceae	tropicos;usda	 		11914
Umbelliferae Feruala karatavica RGL.	Ferula karatavica	Regel & Schmalh.	0.82	No opinion				tropicos	 		11915
Moraceae Ficus pumila Roxl.	Ficus pumila	Thunb.	0.83	Illegitimate				tropicos	 		11916
Rosaceae Filipendula	Filipendula		1	Accepted	Filipendula	Mill.	Rosaceae	tropicos	 		11917
Flacourtiaceae Flacourtia inermis	Flacourtia inermis		1	Accepted	Flacourtia inermis	Roxb.	Salicaceae	tropicos;usda	 		11918
Flacourtiaceae Flacourtia jangomas	Flacourtia jangomas		1	Accepted	Flacourtia jangomas	(Lour.) Raeusch.	Salicaceae	tropicos	 		11919
Onagraceae Fuchsis hybrida	Fuchsia hybrida		0.99	Accepted	Fuchsia hybrida	hort. ex Siebert & Voss	Onagraceae	tropicos	 		11920
Cyperaceae Gahnia pauciflora (New Zealand)	Gahnia pauciflora	Kirk	0.8	No opinion				tropicos	 		11921
Cyperaceae Gahnia pauciflora New Zealand)	Gahnia pauciflora	Kirk	0.7	No opinion				tropicos	 		11922
Cyperaceae Ghania tristis (Singapur)	Gahnia tristis	Nees	0.79	Accepted	Gahnia tristis	Nees	Cyperaceae	tropicos	 		11923
Amaryllidaceae Galanthus elwesii	Galanthus elwesii		1	Accepted	Galanthus elwesii	Hook. f.	Amaryllidaceae	tropicos;usda	 		11924
Amaryllidaceae Galanthus nivalis	Galanthus nivalis		1	Accepted	Galanthus nivalis	L.	Amaryllidaceae	tropicos;usda	 		11925
Labiatae Galopsis tetrahit	Galeopsis tetrahit		0.99	Accepted	Galeopsis tetrahit	L.	Lamiaceae	tropicos;usda	 		11926
Rubiaceae Galium verum	Galium verum		1	Accepted	Galium verum	L.	Rubiaceae	tropicos;usda	 		11927
Clusiaceae Garcinia hombroniana	Garcinia hombroniana		1	No opinion				tropicos	 		11928
Guttiferae Garcinia indica	Garcinia indica		1	No opinion				tropicos	 		11929
Guttiferae Garcinia oblongifolia	Garcinia oblongifolia		1	Accepted	Garcinia oblongifolia	Champ. ex Benth.	Clusiaceae	tropicos	 		11930
Rubiaceae Gardenia cambogia Desr.	Gardenia		0.6	Accepted	Gardenia	J. Ellis	Rubiaceae	tropicos	 [Partial match] 		11931
Rubiaceae Gardenia lucica	Gardenia lucida		0.98	No opinion				tropicos	 		11932
Gentianaceae Gentiana asclepiadea	Gentiana asclepiadea		1	Synonym	Dasistepha asclepiadea	(L.) Raf.	Unknown	tropicos	 		11933
Gentianaceae Gentiana acuta	Gentiana acuta		1	Synonym	Gentianella acuta	(Michx.) Hiitonen	Gentianaceae	tropicos	 		11934
Gentianaceae Gentiana cruciata	Gentiana cruciata		1	Accepted	Gentiana cruciata	L.	Gentianaceae	tropicos;usda	 		11935
Gentianaceae Gentiana decumbens	Gentiana decumbens		1	Accepted	Gentiana decumbens	L. f.	Gentianaceae	tropicos	 		11936
Gentianaceae Gentiana lutea	Gentiana lutea		1	Synonym	Gentianusa lutea	(L.) Pohl	Gentianaceae	tropicos	 		11937
Gentianaceae Gentiana tibetica	Gentiana tibetica		1	Accepted	Gentiana tibetica	King ex Hook. f.	Gentianaceae	tropicos	 		11938
Geraniaceae Geranium endressii Gay	Geranium endressii	Gay	1	No opinion				tropicos	 		11939
Geraniaceae Geranium marcorrhizum L.	Geranium macrorrhizum	L.	0.99	Accepted	Geranium macrorrhizum	L.	Geraniaceae	tropicos	 		11940
Geraniaceae Geranium palustre L.	Geranium palustre	L.	1	Synonym	Geranium himalayense	Klotzsch	Geraniaceae	tropicos	 		11941
Geraniaceae Geranium pussillum	Geranium pusillum		0.99	Accepted	Geranium pusillum	L.	Geraniaceae	tropicos;usda	 		11942
Geraniaceae Geranium pyrenaicum	Geranium pyrenaicum		1	Accepted	Geranium pyrenaicum	Burm. f.	Geraniaceae	tropicos;usda	 		11943
Geraniaceae Geranium robertianum L.	Geranium robertianum	L.	1	Accepted	Geranium robertianum	L.	Geraniaceae	tropicos;usda	 		11944
Geraniaceae Geranium sanguineum L.	Geranium sanguineum	L.	1	Accepted	Geranium sanguineum	L.	Geraniaceae	tropicos;usda	 		11945
Geraniaceae Geranium sylvaticum L.	Geranium sylvaticum	L.	1	Accepted	Geranium sylvaticum	L.	Geraniaceae	tropicos;usda	 		11946
Rosaceae Geum aleppicum	Geum aleppicum		1	Accepted	Geum aleppicum	Jacq.	Rosaceae	tropicos;usda	 		11947
Rosaceae Geum urbanum	Geum urbanum		1	Accepted	Geum urbanum	L.	Rosaceae	tropicos;usda	 		11948
Leguminosae-Caesalpinioideae Gleditsia fera	Gleditsia fera		0.9	Accepted	Gleditsia fera	(Lour.) Merr.	Fabaceae	tropicos	 		11949
Leguminosae Gleditsia maculata H. B. et K.	Gleditsia		0.6	Accepted	Gleditsia	L.	Fabaceae	tropicos	 [Partial match] 		11950
Leguminosae Glycine hispida maxima	Glycine hispida		0.77	Synonym	Glycine max	(L.) Merr.	Fabaceae	tropicos;usda	 [Partial match] 		11951
Leguminosae Clycine soja	Glycine soja		0.99	Accepted	Glycine soja	Siebold & Zucc.	Fabaceae	tropicos	 		11952
Verbenaceae Gmelina asiatica L.	Gmelina asiatica	L.	1	Accepted	Gmelina asiatica	L.	Lamiaceae	tropicos;usda	 		11953
Verbenaceae Gmelina hytrix	Gmelina hystrix		0.99	Synonym	Gmelina philippensis	Cham.	Lamiaceae	tropicos	 		11954
Leguminosae Goebelia pochycarpa BGE.	Goebelia pachycarpa	(Schrenk ex C.A. Mey.) Bunge ex Boiss.	0.81	Synonym	Sophora pachycarpa	Schrenk ex C.A. Mey.	Fabaceae	tropicos	 		11955
Leguminosae Gopaifera coleosperma Benth.	Copaifera coleosperma	Benth.	0.99	Synonym	Guibourtia pellegriniana	J. Léonard	Fabaceae	tropicos	 		11956
Malvaceae Gossypium herbaceum	Gossypium herbaceum		1	Accepted	Gossypium herbaceum	L.	Malvaceae	tropicos	 		11957
Proteaceae Grevillea baksii	Grevillea banksii		0.99	Accepted	Grevillea banksii	R. Br.	Proteaceae	tropicos;usda	 		11958
Proteaceae Grevillea floribunda R. Br.	Grevillea floribunda	R. Br.	1	No opinion				tropicos	 		11959
Proteaceae Grevillea robusta	Grevillea robusta		1	Accepted	Grevillea robusta	A. Cunn. ex R. Br.	Proteaceae	tropicos;usda	 		11960
Tiliaceae Grewia asiatica Wall.	Grewia asiatica	L.	0.8	Accepted	Grewia asiatica	L.	Malvaceae	tropicos;usda	 		11961
Saxifragaceae Grossularia burejensis	Grossularia burejensis		0.6	Synonym	Ribes burejense var. burejense		Grossulariaceae	tropicos	 		11962
Meliaceae Guarea chichon (Mexico)	Guarea chichon	C. DC.	0.8	Accepted	Guarea chichon	C. DC.	Meliaceae	tropicos	 		11963
Meliaceae Guarea excelsa (Mexico)	Guarea excelsa	Kunth	0.8	Accepted	Guarea excelsa	Kunth	Meliaceae	tropicos	 		11964
Leguminosae-Caesalpinioideae Guibourtia coleosperma	Guibourtia coleosperma		0.9	No opinion				tropicos	 		11965
Compositae Guizotia arborenscens	Guizotia arborescens		0.99	No opinion				tropicos	 		11966
Compositae Guizotia scabra ssp. Scabra	Guizotia scabra		0.9	Accepted	Guizotia scabra	(Vis.) Chiov.	Asteraceae	tropicos;gcc	 		11967
Compositae Guizotia scabra ssp. Schimperi	Guizotia scabra		0.9	Accepted	Guizotia scabra	(Vis.) Chiov.	Asteraceae	tropicos;gcc	 		11968
Compositae Guizotia zavattari	Guizotia zavattarii		0.99	No opinion				tropicos	 		11969
Myristicaceae Gymacranthera contracta	Gymnacranthera contracta		0.99	No opinion				tropicos	 		11970
Cactaceae Gymnocalycium schickendantzii	Gymnocalycium schickendantzii		1	Accepted	Gymnocalycium schickendantzii	(F.A.C. Weber) Britton & Rose	Cactaceae	tropicos	 		11971
Proteaceae Hakea salicifolia	Hakea salicifolia		1	Accepted	Hakea salicifolia	(Vent.) B.L. Burtt	Proteaceae	tropicos	 		11972
Proteaceae Hakea serica	Hakea sericea		0.99	Accepted	Hakea sericea	Schrad. & J.C. Wendl.	Proteaceae	tropicos	 		11973
Rutaceae Haplophyllum versicolor Fisch.	Haplophyllum versicolor	Fisch. & C.A. Mey.	0.91	Accepted	Haplophyllum versicolor	Fisch. & C.A. Mey.	Rutaceae	tropicos	 		11974
Leguminosae Hardenbergia violacea	Hardenbergia violacea		1	Accepted	Hardenbergia violacea	(Schneev.) Stearn	Fabaceae	tropicos;usda	 		11975
Cactaceae Harrisia pomanensis	Harrisia pomanensis		1	Accepted	Harrisia pomanensis	(F.A.C. Weber ex K. Schum.) Britton & Rose	Cactaceae	tropicos	 		11976
Hypericaceae Harungna madagascariensis	Harungana madagascariensis		0.99	Accepted	Harungana madagascariensis	Lam. ex Poir.	Hypericaceae	tropicos	 		11977
Sterculiaceae Helicteres isora	Helicteres isora		1	Accepted	Helicteres isora	L.	Malvaceae	tropicos	 		11978
Cruciferae Heliophila amplexicaulis	Heliophila amplexicaulis		1	Accepted	Heliophila amplexicaulis	L. f.	Brassicaceae	tropicos	 		11979
Ranunculaceae Helleborus foetidus	Helleborus foetidus		1	No opinion				tropicos	 		11980
Ranunculaceae Helleborus lividus	Helleborus lividus		1	Synonym	Helleborus trifolius var. lividus	(Aiton ex Curtis) Knoche	Ranunculaceae	tropicos	 		11981
Ranunculaceae Helleborus niger	Helleborus niger		1	Accepted	Helleborus niger	L.	Ranunculaceae	tropicos;usda	 		11982
Ranunculaceae Helleborus purpurascens	Helleborus purpurascens		1	No opinion				tropicos	 		11983
Rannunculaceae Hepatica triloba	Hepatica triloba		0.99	No opinion				tropicos	 [Ambiguous match] 		11984
Umbelliferae Heracleum gracillius	Heracleum		0.6	Accepted	Heracleum	L.	Apiaceae	tropicos	 [Partial match] 		11985
Asphodeleae Herpolirion novae-zelandiae	Asphodeline	Rchb.	0.61	Accepted	Asphodeline	Rchb.	Xanthorrhoeaceae	tropicos	 		11986
Sterculiaceae Herrania albiflora (Costa Rica)	Herrania albiflora	Goudot	0.8	Accepted	Herrania albiflora	Goudot	Malvaceae	tropicos	 		11987
Sterculiaceae Herrania bala?nsis (Costa Rica)	Herrania		0.5	Accepted	Herrania	Goudot	Malvaceae	tropicos	 [Partial match] 		11988
Sterculiaceae Herrania columbia	Herrania		0.6	Accepted	Herrania	Goudot	Malvaceae	tropicos	 [Partial match] 		11989
Sterculiaceae Herrania cuatrecasana (Costa Rica)	Herrania cuatrecasana	García-Barr.	0.8	Accepted	Herrania cuatrecasana	García-Barr.	Malvaceae	tropicos	 		11990
Sterculiaceae Herrania mariae (Brazil)	Herrania mariae	(Mart.) Decne. ex Goudot	0.82	Accepted	Herrania mariae	(Mart.) Decne. ex Goudot	Malvaceae	tropicos	 		11991
Sterculiaceae Herrania nitida	Herrania nitida		1	Accepted	Herrania nitida	(Poepp.) R.E. Schult.	Malvaceae	tropicos	 		11992
Sterculiaceae Herrania nycterodendron (Costa Rica)	Herrania nycterodendron	R.E. Schult.	0.81	Accepted	Herrania nycterodendron	R.E. Schult.	Malvaceae	tropicos	 		11993
Sterculiaceae Herrania purpurea (Costa Rica)	Herrania purpurea	(Pittier) R.E. Schult.	0.83	Accepted	Herrania purpurea	(Pittier) R.E. Schult.	Malvaceae	tropicos	 		11994
Sterculiaceae Herrania umbratica (Costa Rica)	Herrania umbratica	R.E. Schult.	0.81	Accepted	Herrania umbratica	R.E. Schult.	Malvaceae	tropicos	 		11995
Euphorbiaceae Hevea brasiliensis	Hevea brasiliensis		1	Accepted	Hevea brasiliensis	(Willd. ex A. Juss.) Müll. Arg.	Euphorbiaceae	tropicos;usda	 		11996
Dilleniaceae Hibbertia cuneiformis	Hibbertia cuneiformis		1	No opinion				tropicos	 		11997
Dilleniaceae Hibbertia orata	Hibbertia ovata		0.98	No opinion				tropicos	 		11998
Malvaceae Hibiscus abelmoschus	Hibiscus abelmoschus		1	Synonym	Abelmoschus moschatus	Medik.	Malvaceae	tropicos;usda	 		11999
Malvaceae Hibiscus caesius	Hibiscus caesius		1	Accepted	Hibiscus caesius	Garcke	Malvaceae	tropicos	 		12000
Malvaceae Hibiscus diversifolius (Australien)	Hibiscus diversifolius	Jacq.	0.8	Accepted	Hibiscus diversifolius	Jacq.	Malvaceae	tropicos	 		12001
Malvaceae Hibiscus ficulneus	Hibiscus ficulneus		1	Synonym	Abelmoschus ficulneus	(L.) Wight & Arn.	Malvaceae	tropicos	 		12002
Malvaceae Hibiscus furcatus	Hibiscus furcatus		1	Synonym	Hibiscus hispidissimus	Griff.	Malvaceae	tropicos	 [Ambiguous match] 		12003
Malvaceae Hibiscus grandiflorus	Hibiscus grandiflorus		1	Accepted	Hibiscus grandiflorus	Michx.	Malvaceae	tropicos;usda	 		12004
Malvaceae Hibiscus hirtus	Hibiscus hirtus		1	No opinion				tropicos	 		12005
Malvaceae Hibiscus miranthus	Hibiscus micranthus		0.99	Accepted	Hibiscus micranthus	L. f.	Malvaceae	tropicos	 		12006
Malvaceae Hibiscus panduriformis (Indien)	Hibiscus panduriformis	Burm. f.	0.8	Accepted	Hibiscus panduriformis	Burm. f.	Malvaceae	tropicos	 		12007
Malvaceae Hibiscus punctatus	Hibiscus punctatus		1	Synonym	Hibiscus obtusilobus	Garcke	Malvaceae	tropicos	 		12008
Malvaceae Hibiscus sabdariffa	Hibiscus sabdariffa		1	Accepted	Hibiscus sabdariffa	L.	Malvaceae	tropicos;usda	 		12009
Malvaceae Hibiscus surattensis	Hibiscus surattensis		1	Accepted	Hibiscus surattensis	L.	Malvaceae	tropicos	 		12010
Malvaceae Hibiscus trionum	Hibiscus trionum		1	Accepted	Hibiscus trionum	L.	Malvaceae	tropicos;usda	 		12011
Malvaceae Hibiscus vitifolius	Hibiscus vitifolius		1	Accepted	Hibiscus vitifolius	L.	Malvaceae	tropicos;usda	 		12012
Malvaceae Hibiscus zeylanicus	Hibiscus		0.6	Accepted	Hibiscus	L.	Malvaceae	tropicos	 [Partial match] 		12013
Elaeagnaceae Hippophae goniocarpa ssp. goniocarpa	Hippophae goniocarpa		0.77	Accepted	Hippophae goniocarpa	Y.S. Lian & et al. ex Swenson & Bartish	Elaeagnaceae	tropicos	 [Partial match] 		12014
Elaeagnaceae Hippophae goniocarpa ssp.goniocarpa	Hippophae goniocarpa		0.77	Accepted	Hippophae goniocarpa	Y.S. Lian & et al. ex Swenson & Bartish	Elaeagnaceae	tropicos	 [Partial match] 		12015
Elaeagnaceae Hippophae gyantsensis (Chasa)	Hippophae gyantsensis	(Rousi) Y.S. Lian	0.82	Accepted	Hippophae gyantsensis	(Rousi) Y.S. Lian	Elaeagnaceae	tropicos	 		12016
Elaeagnaceae Hippophae gyantsensis (Tibet)	Hippophae gyantsensis	(Rousi) Y.S. Lian	0.82	Accepted	Hippophae gyantsensis	(Rousi) Y.S. Lian	Elaeagnaceae	tropicos	 		12017
Elaeagnaceae Hippophae neurocarpa	Hippophae neurocarpa		1	Accepted	Hippophae neurocarpa	S.W. Liu & T.N. He	Elaeagnaceae	tropicos	 		12018
Elaeagnaceae Hippophae neurocarpa ssp. Neurocarpa (Hongyuan)	Hippophae neurocarpa		0.9	Accepted	Hippophae neurocarpa	S.W. Liu & T.N. He	Elaeagnaceae	tropicos	 		12019
