Pub ID	TAB	Measure	Name	Value	Unit
18365	TAB_005668	FattyAcid	18:1-delta-6c	68.50     	GLC-Area-%
18424	TAB_007682	FattyAcid	18:1-delta-6c	13.20     	GLC area%
18366	TAB_005669	FattyAcid	18:1-delta-6c	71.40     	GLC-Area-%
18367	TAB_005670	FattyAcid	18:1-delta-6c	64.30     	GLC-Area-%
18368	TAB_005671	FattyAcid	18:1-delta-6c	71.60     	GLC-Area-%
18369	TAB_005672	FattyAcid	18:1-delta-6c	60.50     	GLC-Area-%
18370	TAB_005673	FattyAcid	18:1-delta-6c	67.20     	GLC-Area-%
18445	TAB_008274	FattyAcid	18:1-delta-6c	45.50     	GLC-Area-%
15165	TAB_000771	FattyAcid	18:1-delta-6c	66.10     	GLC-Area-%
18446	TAB_008318	FattyAcid	18:1-delta-6c	57.80     	GLC-Area-%
18447	TAB_008320	FattyAcid	18:1-delta-6c	69.40     	GLC-Area-%
18315	TAB_002673	FattyAcid	18:1-delta-6c	70.20     	GLC-Area-%
21573	TAB_008325	FattyAcid	18:1-delta-6c	72.50     	Mol%
21574	TAB_008326	FattyAcid	18:1-delta-6c	74.10     	Mol%
21575	TAB_008327	FattyAcid	18:1-delta-6c	71.70     	Mol%
18425	TAB_007702	FattyAcid	18:1-delta-6c	34.50     	GLC area%
18426	TAB_007703	FattyAcid	18:1-delta-6c	31.10     	GLC area%
18427	TAB_007706	FattyAcid	18:1-delta-6c	19.30     	GLC area%
18428	TAB_007707	FattyAcid	18:1-delta-6c	60.10     	GLC area%
18429	TAB_007708	FattyAcid	18:1-delta-6c	69.10     	GLC area%
18118	TAB_006696	FattyAcid	18:3-delta-9c,11t,13t	43.20     	GLC-Area-%
18430	TAB_007709	FattyAcid	18:1-delta-6c	67.10     	GLC area%
12672	TAB_006697	FattyAcid	18:3-delta-9c,11t,13t	45.40     	GLC-Area-%
12673	TAB_006698	FattyAcid	18:3-delta-9c,11t,13t	56.10     	GLC-Area-%
18431	TAB_007712	FattyAcid	18:1-delta-6c	49.80     	mg/100g
12674	TAB_006699	FattyAcid	18:3-delta-9c,11t,13t	57.70     	GLC-Area-%
16429	TAB_001901	FattyAcid	18:1-delta-6c	11.40     	GLC-Area-%
18432	TAB_007713	FattyAcid	18:1-delta-6c	44.70     	mg/100g
19986	TAB_006701	FattyAcid	18:3-delta-9c,11t,13t	61.30     	GLC-Area-%
19987	TAB_006702	FattyAcid	18:3-delta-9c,11t,13t	61.60     	GLC-Area-%
12158	TAB_006704	FattyAcid	18:3-delta-9c,11t,13t	63.70     	GLC-Area-%
21201	TAB_006705	FattyAcid	18:3-delta-9c,11t,13t	37.00     	GLC-Area-%
19988	TAB_006707	FattyAcid	18:3-delta-9c,11t,13t	31.90     	GLC-Area-%
19989	TAB_006708	FattyAcid	18:3-delta-9c,11t,13t	32.90     	GLC-Area-%
16237	TAB_006709	FattyAcid	18:3-delta-9c,11t,13t	23.00     	GLC-Area-%
18119	TAB_006711	FattyAcid	18:3-delta-9c,11t,13t	23.00     	GLC-Area-%
18448	TAB_008392	FattyAcid	18:1-delta-6c	74.90     	GLC-Area-%
12430	TAB_008393	FattyAcid	18:1-delta-6c	74.90     	GLC-Area-%
19726	TAB_008407	FattyAcid	11,12-di-OH-20:0	1.25      	
18378	TAB_007742	FattyAcid	18:1-delta-6c	65.90     	GLC area%
18379	TAB_007743	FattyAcid	18:1-delta-6c	67.80     	GLC area%
18603	TAB_004842	FattyAcid	18:1-delta-6c	48.20     	GLC-Area-%
18380	TAB_006734	FattyAcid	18:1-delta-6c	58.20     	GLC-Area-%
18604	TAB_004847	FattyAcid	18:1-delta-6c	83.20     	GLC-Area-%
19106	TAB_000806	FattyAcid	18:1-delta-6c	82.40     	GLC-Area-%
18381	TAB_006740	FattyAcid	18:1-delta-6c	60.10     	GLC-Area-%
15174	TAB_000807	FattyAcid	18:1-delta-6c	1.05      	GLC-Area-%
18605	TAB_004853	FattyAcid	18:1-delta-6c	76.50     	GLC-Area-%
18606	TAB_004854	FattyAcid	18:1-delta-6c	78.10     	GLC-Area-%
18608	TAB_004856	FattyAcid	18:1-delta-6c	70.80     	GLC-Area-%
18609	TAB_004857	FattyAcid	18:1-delta-6c	52.40     	GLC-Area-%
12425	TAB_005767	FattyAcid	18:1-delta-6c	62.20     	GLC-Area-%
18610	TAB_004858	FattyAcid	18:1-delta-6c	52.40     	GLC-Area-%
18371	TAB_005768	FattyAcid	18:1-delta-6c	62.20     	GLC-Area-%
18611	TAB_004859	FattyAcid	18:1-delta-6c	23.10     	GLC-Area-%
18372	TAB_005769	FattyAcid	18:1-delta-6c	53.00     	GLC-Area-%
18594	TAB_008429	FattyAcid	18:1-delta-6c	62.20     	GLC-Area-%
18612	TAB_004860	FattyAcid	18:1-delta-6c	50.10     	GLC-Area-%
18373	TAB_005770	FattyAcid	18:1-delta-6c	47.00     	GLC-Area-%
18316	TAB_002715	FattyAcid	18:1-delta-6c	59.60     	GLC-Area-%
18317	TAB_002716	FattyAcid	18:1-delta-6c	43.70     	GLC-Area-%
22402	TAB_004865	FattyAcid	18:3-delta-9c,11t,13t	9.00      	GLC-Area-%
23660	TAB_004879	FattyAcid	18:1-delta-6c	60.00     	GLC-Area-%
21612	TAB_004880	FattyAcid	18:1-delta-6c	67.40     	GLC-Area-%
20387	TAB_004884	FattyAcid	18:1-delta-6c	78.90     	GLC-Area-%
18613	TAB_004885	FattyAcid	18:1-delta-6c	72.90     	GLC-Area-%
12186	TAB_004886	FattyAcid	18:1-delta-6c	45.73     	GLC-Area-%
12434	TAB_004888	FattyAcid	18:1-delta-6c	72.90     	GLC-Area-%
18614	TAB_004893	FattyAcid	18:1-delta-6c	80.10     	GLC-Area-%
22836	TAB_000836	FattyAcid	18:1-delta-6c	18.10     	GLC-Area-%
19296	TAB_004911	FattyAcid	18:3-delta-9c,11t,13t	85.00     	GLC area%
22838	TAB_000838	FattyAcid	18:1-delta-6c	22.20     	GLC-Area-%
22842	TAB_000842	FattyAcid	18:1-delta-6c	48.40     	GLC-Area-%
18433	TAB_007832	FattyAcid	18:1-delta-6c	78.60     	GLC area%
18494	TAB_004929	FattyAcid	18:1-delta-6c	77.00     	GLC-Area-%
18495	TAB_004930	FattyAcid	18:1-delta-6c	81.20     	GLC-Area-%
22843	TAB_000843	FattyAcid	18:1-delta-6c	43.20     	GLC-Area-%
18497	TAB_004932	FattyAcid	18:1-delta-6c	80.50     	GLC-Area-%
18498	TAB_004933	FattyAcid	18:1-delta-6c	76.20     	GLC area%
22844	TAB_000844	FattyAcid	18:1-delta-6c	34.40     	GLC-Area-%
22845	TAB_000845	FattyAcid	18:1-delta-6c	13.10     	GLC-Area-%
18434	TAB_007854	FattyAcid	18:1-delta-6c	80.60     	GLC-Area-%
10283	TAB_008514	FattyAcid	18:1-delta-6c	70.90     	GLC-Area-%
18382	TAB_006833	FattyAcid	18:1-delta-6c	56.00     	GLC-Area-%
22724	TAB_001987	FattyAcid	18:1-delta-6c	0.30      	GLC-Area-%
18383	TAB_006834	FattyAcid	18:1-delta-6c	64.80     	GLC-Area-%
18384	TAB_006835	FattyAcid	18:1-delta-6c	83.10     	GLC-Area-%
18385	TAB_006836	FattyAcid	18:1-delta-6c	54.20     	GLC-Area-%
22725	TAB_001988	FattyAcid	18:1-delta-6c	0.30      	GLC-Area-%
18386	TAB_006837	FattyAcid	18:1-delta-6c	74.00     	GLC-Area-%
18387	TAB_006838	FattyAcid	18:1-delta-6c	50.10     	GLC-Area-%
18388	TAB_006839	FattyAcid	18:1-delta-6c	70.30     	GLC-Area-%
22726	TAB_001989	FattyAcid	18:1-delta-6c	0.10      	GLC-Area-%
18389	TAB_006840	FattyAcid	18:1-delta-6c	56.20     	GLC-Area-%
18390	TAB_006841	FattyAcid	18:1-delta-6c	45.50     	GLC-Area-%
18391	TAB_006842	FattyAcid	18:1-delta-6c	45.90     	GLC-Area-%
18499	TAB_004989	FattyAcid	18:1-delta-6c	44.20     	GLC-Area-%
18500	TAB_004990	FattyAcid	18:1-delta-6c	34.60     	GLC-Area-%
18435	TAB_007904	FattyAcid	18:1-delta-6c	77.50     	GLC area%
18374	TAB_005911	FattyAcid	18:1-delta-6c	57.90     	GLC-Area-%
21144	TAB_009301	FattyAcid	18:3-delta-9c,11t,13t	60.90     	GLC-Area-%
21145	TAB_009302	FattyAcid	18:3-delta-9c,11t,13t	46.80     	GLC-Area-%
10771	TAB_009305	FattyAcid	18:3-delta-9c,11t,13t	22.00     	GLC area%
10772	TAB_009306	FattyAcid	18:3-delta-9c,11t,13t	17.00     	GLC-Area-%
10773	TAB_009307	FattyAcid	18:3-delta-9c,11t,13t	14.00     	GLC-Area-%
10774	TAB_009308	FattyAcid	18:3-delta-9c,11t,13t	43.00     	GLC-Area-%
10775	TAB_009309	FattyAcid	18:3-delta-9c,11t,13t	63.70     	GLC-Area-%
10776	TAB_009310	FattyAcid	18:3-delta-9c,11t,13t	30.00     	GLC-Area-%
10777	TAB_009311	FattyAcid	18:3-delta-9c,11t,13t	22.00     	GLC-Area-%
10778	TAB_009312	FattyAcid	18:3-delta-9c,11t,13t	23.00     	GLC-Area-%
10779	TAB_009313	FattyAcid	18:3-delta-9c,11t,13t	35.30     	GLC-Area-%
18436	TAB_007949	FattyAcid	18:1-delta-6c	76.80     	GLC area%
18437	TAB_007950	FattyAcid	18:1-delta-6c	70.80     	GLC area%
18438	TAB_007951	FattyAcid	18:1-delta-6c	73.60     	GLC area%
18439	TAB_007953	FattyAcid	18:1-delta-6c	73.80     	GLC area%
18440	TAB_007954	FattyAcid	18:1-delta-6c	81.70     	GLC area%
18441	TAB_007955	FattyAcid	18:1-delta-6c	79.20     	GLC area%
23133	TAB_006927	FattyAcid	18:1-delta-6c	65.00     	GLC-Area-%
18321	TAB_002827	FattyAcid	18:1-delta-6c	75.80     	GLC-Area-%
24295	TAB_006928	FattyAcid	18:1-delta-6c	24.70     	GLC-Area-%
12184	TAB_006929	FattyAcid	18:1-delta-6c	29.56     	GLC-Area-%
18322	TAB_002828	FattyAcid	18:1-delta-6c	74.20     	GLC-Area-%
21132	TAB_006930	FattyAcid	18:1-delta-6c	17.50     	GLC area%
21581	TAB_006932	FattyAcid	18:1-delta-6c	55.80     	Mol%
18393	TAB_006933	FattyAcid	18:1-delta-6c	37.50     	Mol%
18442	TAB_007965	FattyAcid	18:1-delta-6c	76.50     	GLC-Area-%
18394	TAB_006936	FattyAcid	18:1-delta-6c	75.40     	GLC-Area-%
18395	TAB_006938	FattyAcid	18:1-delta-6c	70.20     	GLC-Area-%
18396	TAB_006939	FattyAcid	18:1-delta-6c	46.60     	GLC-Area-%
18397	TAB_006940	FattyAcid	18:1-delta-6c	54.50     	GLC-Area-%
18398	TAB_006941	FattyAcid	18:1-delta-6c	42.20     	GLC-Area-%
18399	TAB_006942	FattyAcid	18:1-delta-6c	52.80     	GLC-Area-%
16422	TAB_005955	FattyAcid	18:3-delta-9c,11t,13t	61.00     	GLC-Area-%
12308	TAB_005956	FattyAcid	18:3-delta-9c,11t,13t	63.00     	GLC-Area-%
12309	TAB_005957	FattyAcid	18:3-delta-9c,11t,13t	61.00     	GLC-Area-%
16411	TAB_005959	FattyAcid	18:3-delta-9c,11t,13t	59.50     	GLC-Area-%
16412	TAB_005960	FattyAcid	18:3-delta-9c,11t,13t	64.90     	GLC-Area-%
16413	TAB_005961	FattyAcid	18:3-delta-9c,11t,13t	49.20     	GLC-Area-%
12174	TAB_005962	FattyAcid	18:3-delta-9c,11t,13t	57.00     	GLC-Area-%
23805	TAB_002848	FattyAcid	18:3-delta-9c,11t,13t	88.00     	GLC-Area-%
18277	TAB_002849	FattyAcid	18:3-delta-9c,11t,13t	79.00     	GLC-Area-%
14662	TAB_002850	FattyAcid	18:3-delta-9c,11t,13t	85.70     	GLC-Area-%
15450	TAB_002853	FattyAcid	18:3-delta-9c,11t,13t	79.50     	GLC-Area-%
